algorithm,iteration,cost
"L2,1-NMF",165,11428.40913239972
"L2,1-NMF",170,11412.315773202017
"L2,1-NMF",175,11397.36110799467
"L2,1-NMF",180,11383.40487096095
"L2,1-NMF",185,11370.466483015234
"L2,1-NMF",190,11358.564070140677
"L2,1-NMF",195,11347.524678883194
"L2,1-NMF",200,11337.214913619984
"L2,1-NMF",205,11327.564491287329
"L2,1-NMF",210,11318.467948861224
"L2,1-NMF",215,11309.88511563942
"L2,1-NMF",220,11301.795690616767
"L2,1-NMF",225,11294.122879445877
"L2,1-NMF",230,11286.861276885824
"L2,1-NMF",235,11279.953671803327
"L2,1-NMF",240,11273.382055321268
"L2,1-NMF",245,11267.16789181907
"L2,1-NMF",250,11261.219452137317
L1-Reg Robust,5,19417.740812882
L1-Reg Robust,10,17514.849462961432
L1-Reg Robust,15,16171.267521033064
L1-Reg Robust,20,15472.302304293895
L1-Reg Robust,25,15168.58289988989
L1-Reg Robust,30,15024.97396042568
L1-Reg Robust,35,14948.786128060854
L1-Reg Robust,40,14900.740216506721
L1-Reg Robust,45,14864.636252833254
L1-Reg Robust,50,14831.51029684214
L1-Reg Robust,55,14794.970916898743
L1-Reg Robust,60,14748.786268789112
L1-Reg Robust,65,14685.405801619088
L1-Reg Robust,70,14594.695541197741
L1-Reg Robust,75,14462.932516092915
L1-Reg Robust,80,14272.93493712613
L1-Reg Robust,85,14007.363950871897
L1-Reg Robust,90,13656.6737107291
L1-Reg Robust,95,13228.037221708995
L1-Reg Robust,100,12746.715972245314
L1-Reg Robust,105,12248.386815617998
L1-Reg Robust,110,11768.74786183323
L1-Reg Robust,115,11334.869466963364
L1-Reg Robust,120,10961.10773095016
L1-Reg Robust,125,10651.44586983755
L1-Reg Robust,130,10401.201953822118
L1-Reg Robust,135,10200.727636430984
L1-Reg Robust,140,10039.120563422512
L1-Reg Robust,145,9906.880591297539
L1-Reg Robust,150,9796.510779061544
L1-Reg Robust,155,9702.1854649748
L1-Reg Robust,160,9619.259172083423
L1-Reg Robust,165,9544.21347271178
L1-Reg Robust,170,9474.138633300203
L1-Reg Robust,175,9407.443258656993
L1-Reg Robust,180,9342.769625279161
L1-Reg Robust,185,9279.214843638492
L1-Reg Robust,190,9216.074035053593
L1-Reg Robust,195,9152.94132401969
L1-Reg Robust,200,9089.761101179038
L1-Reg Robust,205,9026.78478817152
L1-Reg Robust,210,8964.329641865646
L1-Reg Robust,215,8902.79796152355
L1-Reg Robust,220,8842.681852793785
L1-Reg Robust,225,8784.459389320156
L1-Reg Robust,230,8728.534562288738
L1-Reg Robust,235,8675.228845416119
L1-Reg Robust,240,8624.712217415263
L1-Reg Robust,245,8577.041275735042
L1-Reg Robust,250,8532.177303638784
