algorithm,outlier_fraction,rre,run,seconds,value
L1-Reg Robust,0.9210760760760761,0.2810513706001964,0,31.66572435399985,0.01
L1-Reg Robust,0.7916791791791792,0.22672532055080083,0,42.06043457700025,0.02
L1-Reg Robust,0.45204454454454457,0.3013184247016965,0,43.70394001700015,0.05
L1-Reg Robust,0.1919894894894895,0.31829752434772196,0,24.594225368000025,0.1
L1-Reg Robust,0.04206706706706707,0.3286667826400566,0,19.309251590000258,0.2
L1-Reg Robust,0.002192192192192192,0.3311498190642216,0,18.010686172000078,0.4
L1-Reg Robust,0.9206831831831832,0.27687605680798333,1,40.62116314700006,0.01
L1-Reg Robust,0.7868818818818819,0.22793139981489097,1,27.6357783200001,0.02
L1-Reg Robust,0.4529229229229229,0.296574372359675,1,26.662741031000223,0.05
L1-Reg Robust,0.18932432432432433,0.3146048609074845,1,42.13228309000033,0.1
L1-Reg Robust,0.04030780780780781,0.3225683966662632,1,39.90213788200026,0.2
L1-Reg Robust,0.0019744744744744744,0.3267330649078614,1,18.797102357999847,0.4
L1-Reg Robust,0.9221971971971972,0.27843599125852564,2,18.498610838999866,0.01
L1-Reg Robust,0.7894194194194194,0.22613456975102608,2,18.625936869999805,0.02
L1-Reg Robust,0.4531931931931932,0.2972901952875829,2,35.11914157299998,0.05
L1-Reg Robust,0.1888988988988989,0.31626808550979074,2,40.66074086499975,0.1
L1-Reg Robust,0.04055555555555555,0.3255880576867081,2,41.19609481500038,0.2
L1-Reg Robust,0.0022022022022022024,0.32800040756689325,2,28.85470788700013,0.4
