algorithm,iteration,cost
F-norm MU,370,3329.1191136820858
F-norm MU,375,3325.4579797897686
F-norm MU,380,3321.902801828859
F-norm MU,385,3318.449185343199
F-norm MU,390,3315.093048235921
F-norm MU,395,3311.8305281832672
F-norm MU,400,3308.65790251185
L1-NMF,5,58259.94689937152
L1-NMF,10,56558.32259799107
L1-NMF,15,56280.10707508505
L1-NMF,20,56163.2128184408
L1-NMF,25,56068.091946327055
L1-NMF,30,55975.48631711147
L1-NMF,35,55882.10141725675
L1-NMF,40,55786.16203582067
L1-NMF,45,55686.08269568395
L1-NMF,50,55580.45854375223
L1-NMF,55,55467.80316258769
L1-NMF,60,55346.654442368526
L1-NMF,65,55215.379694965675
L1-NMF,70,55071.63532652919
L1-NMF,75,54913.42840638898
L1-NMF,80,54738.723639232376
L1-NMF,85,54545.39315081325
L1-NMF,90,54331.81763188112
L1-NMF,95,54095.19244362635
L1-NMF,100,53832.97109135818
L1-NMF,105,53544.36851787867
L1-NMF,110,53227.52830645445
L1-NMF,115,52881.24829101369
L1-NMF,120,52508.117925941195
L1-NMF,125,52110.99105643334
L1-NMF,130,51696.01021722379
L1-NMF,135,51266.984113290426
L1-NMF,140,50827.167356859594
L1-NMF,145,50385.011418309325
L1-NMF,150,49944.7880066022
L1-NMF,155,49508.65133935803
L1-NMF,160,49079.42296336894
L1-NMF,165,48656.776026651336
L1-NMF,170,48242.50159289503
L1-NMF,175,47839.94943437967
L1-NMF,180,47448.41901617204
L1-NMF,185,47069.54027639853
L1-NMF,190,46703.312662087665
L1-NMF,195,46349.79924479288
L1-NMF,200,46008.426322743864
L1-NMF,205,45677.8089410565
L1-NMF,210,45357.62285159792
L1-NMF,215,45048.01029858025
L1-NMF,220,44747.940682970875
L1-NMF,225,44457.730728119626
L1-NMF,230,44176.0245930213
L1-NMF,235,43902.18875807454
L1-NMF,240,43634.90010787388
L1-NMF,245,43375.55701848515
L1-NMF,250,43124.352728900965
L1-NMF,255,42881.20526796637
L1-NMF,260,42645.77711681865
L1-NMF,265,42417.424981321936
L1-NMF,270,42195.11435743196
L1-NMF,275,41977.69557798407
L1-NMF,280,41765.1842926722
L1-NMF,285,41557.38169366344
L1-NMF,290,41354.44724092756
L1-NMF,295,41155.70569826447
L1-NMF,300,40960.14198020408
L1-NMF,305,40768.04390664363
L1-NMF,310,40579.65353882662
L1-NMF,315,40394.0924241683
L1-NMF,320,40211.17767981402
L1-NMF,325,40031.16634888861
L1-NMF,330,39853.48104991604
L1-NMF,335,39678.33055364184
L1-NMF,340,39505.57761935489
L1-NMF,345,39335.03756390682
L1-NMF,350,39166.485365331624
L1-NMF,355,39000.003057426504
L1-NMF,360,38835.32160833493
L1-NMF,365,38672.26405342112
L1-NMF,370,38510.90918823211
L1-NMF,375,38351.13568468744
L1-NMF,380,38192.60324541488
L1-NMF,385,38035.31782947162
L1-NMF,390,37879.12696079846
L1-NMF,395,37724.32922026153
L1-NMF,400,37570.58611343498
Hypersurface,5,42699.15239125324
Hypersurface,10,42477.923695749356
Hypersurface,15,42272.014746491695
Hypersurface,20,42029.810036476716
Hypersurface,25,41721.90957057952
Hypersurface,30,41308.61114585622
Hypersurface,35,40740.27380685162
Hypersurface,40,39968.2322166504
Hypersurface,45,38974.09297044751
Hypersurface,50,37807.44034970185
Hypersurface,55,36578.914128134915
Hypersurface,60,35390.71368529099
Hypersurface,65,34293.384486137176
Hypersurface,70,33297.579364640565
Hypersurface,75,32394.705662755347
Hypersurface,80,31569.895095594777
Hypersurface,85,30806.840104672785
Hypersurface,90,30089.889855975987
Hypersurface,95,29405.312363022007
Hypersurface,100,28742.08523505961
Hypersurface,105,28092.45964225669
Hypersurface,110,27451.692938523775
Hypersurface,115,26819.119657725267
Hypersurface,120,26197.985538963545
Hypersurface,125,25592.847250791197
Hypersurface,130,25007.294736523378
Hypersurface,135,24444.318189970363
Hypersurface,140,23906.72195187029
Hypersurface,145,23396.161307006303
Hypersurface,150,22913.88162829186
Hypersurface,155,22461.071951708196
Hypersurface,160,22037.961271045133
Hypersurface,165,21644.671202425423
Hypersurface,170,21280.706258394377
Hypersurface,175,20944.025246419533
Hypersurface,180,20631.78239470351
Hypersurface,185,20342.358187338577
Hypersurface,190,20074.570708553103
Hypersurface,195,19827.025788762054
Hypersurface,200,19598.43336419899
Hypersurface,205,19387.348866660162
Hypersurface,210,19192.011093911962
Hypersurface,215,19010.734871933862
Hypersurface,220,18842.06642151296
Hypersurface,225,18684.565565788707
Hypersurface,230,18536.953883262286
Hypersurface,235,18398.23316644473
Hypersurface,240,18267.605909800266
Hypersurface,245,18144.35717213634
Hypersurface,250,18027.851022147857
Hypersurface,255,17917.533158861697
Hypersurface,260,17812.914303864243
Hypersurface,265,17713.553762702097
Hypersurface,270,17619.057637448837
Hypersurface,275,17529.070294163055
Hypersurface,280,17443.26527941312
Hypersurface,285,17361.342543084822
Hypersurface,290,17283.029684976966
Hypersurface,295,17208.081418121496
Hypersurface,300,17136.27244350157
Hypersurface,305,17067.392356269644
Hypersurface,310,17001.246976806884
Hypersurface,315,16937.66006570275
Hypersurface,320,16876.472692725147
Hypersurface,325,16817.54172395993
Hypersurface,330,16760.738561818085
Hypersurface,335,16705.948319986906
Hypersurface,340,16653.069082574366
Hypersurface,345,16602.010752565435
Hypersurface,350,16552.693342847724
Hypersurface,355,16505.04500443471
Hypersurface,360,16459.000192720574
Hypersurface,365,16414.498080877787
Hypersurface,370,16371.480940097696
Hypersurface,375,16329.892157124137
Hypersurface,380,16289.674503442631
Hypersurface,385,16250.7701125674
Hypersurface,390,16213.121885492197
Hypersurface,395,16176.674568462748
Hypersurface,400,16141.374959000343
"L2,1-NMF",5,2290.7970687570773
"L2,1-NMF",10,2271.4299925274577
"L2,1-NMF",15,2238.0840882268894
"L2,1-NMF",20,2172.8978018201856
"L2,1-NMF",25,2059.9736101629505
"L2,1-NMF",30,1917.1112288849617
"L2,1-NMF",35,1780.8853082020037
"L2,1-NMF",40,1668.0817315875743
"L2,1-NMF",45,1580.3186656179896
"L2,1-NMF",50,1512.4282727797618
"L2,1-NMF",55,1458.7199062188724
"L2,1-NMF",60,1415.3294425182262
"L2,1-NMF",65,1379.6213487726732
"L2,1-NMF",70,1349.7490714909688
"L2,1-NMF",75,1324.3913639519724
"L2,1-NMF",80,1302.5808437065061
"L2,1-NMF",85,1283.6217085602016
"L2,1-NMF",90,1267.0047209353183
"L2,1-NMF",95,1252.344489291522
"L2,1-NMF",100,1239.3410397841985
"L2,1-NMF",105,1227.7547338468785
"L2,1-NMF",110,1217.3901072827398
"L2,1-NMF",115,1208.0844211366907
"L2,1-NMF",120,1199.700437943381
"L2,1-NMF",125,1192.1222763747037
"L2,1-NMF",130,1185.2508493356763
"L2,1-NMF",135,1178.9994627985575
"L2,1-NMF",140,1173.2917784784095
"L2,1-NMF",145,1168.0614781471788
"L2,1-NMF",150,1163.2518008190693
"L2,1-NMF",155,1158.8144113865528
"L2,1-NMF",160,1154.7080358749554
"L2,1-NMF",165,1150.8972598873697
"L2,1-NMF",170,1147.3515795524518
"L2,1-NMF",175,1144.0446422071836
"L2,1-NMF",180,1140.9536057297173
"L2,1-NMF",185,1138.058583750621
"L2,1-NMF",190,1135.3421734632611
"L2,1-NMF",195,1132.7890671171108
"L2,1-NMF",200,1130.3857338651487
"L2,1-NMF",205,1128.120144771537
"L2,1-NMF",210,1125.981518188314
"L2,1-NMF",215,1123.960084455026
"L2,1-NMF",220,1122.0468890350635
"L2,1-NMF",225,1120.2336546947759
"L2,1-NMF",230,1118.5127069451842
"L2,1-NMF",235,1116.8769478222841
"L2,1-NMF",240,1115.3198547896186
"L2,1-NMF",245,1113.8354849397117
"L2,1-NMF",250,1112.4184700213991
"L2,1-NMF",255,1111.0639874052786
"L2,1-NMF",260,1109.7676924368711
"L2,1-NMF",265,1108.5256146166012
"L2,1-NMF",270,1107.334050635321
"L2,1-NMF",275,1106.1894975484252
"L2,1-NMF",280,1105.088640153545
"L2,1-NMF",285,1104.0283701862793
"L2,1-NMF",290,1103.005808242997
"L2,1-NMF",295,1102.018315863365
"L2,1-NMF",300,1101.0634994786433
"L2,1-NMF",305,1100.1392106696596
"L2,1-NMF",310,1099.2435434363028
"L2,1-NMF",315,1098.3748250154076
"L2,1-NMF",320,1097.5315954477205
"L2,1-NMF",325,1096.712574048025
"L2,1-NMF",330,1095.916617254833
"L2,1-NMF",335,1095.1426778483353
"L2,1-NMF",340,1094.3897753823985
"L2,1-NMF",345,1093.6569812535167
"L2,1-NMF",350,1092.9434139698685
"L2,1-NMF",355,1092.2482367138828
"L2,1-NMF",360,1091.5706519100836
"L2,1-NMF",365,1090.9098929994254
"L2,1-NMF",370,1090.2652171440182
"L2,1-NMF",375,1089.635901875329
"L2,1-NMF",380,1089.0212456021557
"L2,1-NMF",385,1088.420569851367
"L2,1-NMF",390,1087.83322154473
"L2,1-NMF",395,1087.2585752472046
"L2,1-NMF",400,1086.6960363120502
L1-Reg Robust,5,1802.355445199876
L1-Reg Robust,10,1593.410572196392
L1-Reg Robust,15,1538.3574517547067
L1-Reg Robust,20,1524.4379908210144
L1-Reg Robust,25,1519.5097283394664
L1-Reg Robust,30,1516.6026715505704
L1-Reg Robust,35,1514.1856855339531
L1-Reg Robust,40,1511.8723481832053
L1-Reg Robust,45,1509.5426075016464
L1-Reg Robust,50,1507.1445943657484
L1-Reg Robust,55,1504.6446884048548
L1-Reg Robust,60,1502.013124684011
L1-Reg Robust,65,1499.2194156960034
L1-Reg Robust,70,1496.2307266768628
L1-Reg Robust,75,1493.0110061785576
L1-Reg Robust,80,1489.5204496023407
L1-Reg Robust,85,1485.715275243739
L1-Reg Robust,90,1481.5475252907963
L1-Reg Robust,95,1476.9650090084438
L1-Reg Robust,100,1471.9118448260765
L1-Reg Robust,105,1466.3290680706696
L1-Reg Robust,110,1460.1556326205505
L1-Reg Robust,115,1453.3304283786545
L1-Reg Robust,120,1445.7946805969318
L1-Reg Robust,125,1437.49517554157
L1-Reg Robust,130,1428.388702994484
L1-Reg Robust,135,1418.4456593075893
L1-Reg Robust,140,1407.6570870469689
L1-Reg Robust,145,1396.0426144576547
L1-Reg Robust,150,1383.6465533249486
L1-Reg Robust,155,1370.5442900526268
L1-Reg Robust,160,1356.8435355473878
L1-Reg Robust,165,1342.6842772853136
L1-Reg Robust,170,1328.2211960859404
L1-Reg Robust,175,1313.6200231089135
L1-Reg Robust,180,1299.045594109356
L1-Reg Robust,185,1284.6405652501708
L1-Reg Robust,190,1270.5185974884607
L1-Reg Robust,195,1256.7669810857867
L1-Reg Robust,200,1243.4422667393087
L1-Reg Robust,205,1230.5715949857872
L1-Reg Robust,210,1218.172933807568
L1-Reg Robust,215,1206.2488678793206
L1-Reg Robust,220,1194.788939804952
L1-Reg Robust,225,1183.7789717297064
L1-Reg Robust,230,1173.2046380692743
L1-Reg Robust,235,1163.0473909825514
L1-Reg Robust,240,1153.2785289840126
L1-Reg Robust,245,1143.8617040666304
L1-Reg Robust,250,1134.7616443354448
L1-Reg Robust,255,1125.9466316746325
L1-Reg Robust,260,1117.3825779308245
L1-Reg Robust,265,1109.0410020836164
L1-Reg Robust,270,1100.898555544471
L1-Reg Robust,275,1092.9331761729263
L1-Reg Robust,280,1085.12610520272
L1-Reg Robust,285,1077.4622765832967
L1-Reg Robust,290,1069.928332299598
L1-Reg Robust,295,1062.512302420129
L1-Reg Robust,300,1055.2041055408652
L1-Reg Robust,305,1047.9934820551273
L1-Reg Robust,310,1040.8731644228187
L1-Reg Robust,315,1033.8347051510561
L1-Reg Robust,320,1026.871361660124
L1-Reg Robust,325,1019.9774399030281
L1-Reg Robust,330,1013.1485258969665
L1-Reg Robust,335,1006.3797194300047
L1-Reg Robust,340,999.6672280656363
L1-Reg Robust,345,993.0086812577638
L1-Reg Robust,350,986.4032114284596
L1-Reg Robust,355,979.8502273021793
L1-Reg Robust,360,973.3469021290176
L1-Reg Robust,365,966.8913640461601
L1-Reg Robust,370,960.4773060634575
L1-Reg Robust,375,954.1072795451685
L1-Reg Robust,380,947.7834426518574
L1-Reg Robust,385,941.5050366501732
L1-Reg Robust,390,935.2808939008628
L1-Reg Robust,395,929.12263860084
L1-Reg Robust,400,923.0346642870169
