run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
0,0,0,0.0,0,0.0,F-norm MU,40,0.12920828197332052,0.7638888888888888,0.7333333333333333,0.852761719718016,400,0,1547.3472574758066,1.830078624999942
0,0,0,0.0,0,0.0,L1-NMF,40,0.18432209661502735,0.6555555555555556,0.6111111111111112,0.7995207312787302,400,0,25363.337265284557,3.6989802229998077
0,0,0,0.0,0,0.0,Hypersurface,40,0.13909771946591426,0.7666666666666667,0.75,0.8692248431981016,400,0,9869.687880515423,4.002934849999974
0,0,0,0.0,0,0.0,"L2,1-NMF",40,0.13001485320064268,0.75,0.7277777777777777,0.8582429616650004,400,0,740.7524453216629,3.645668746999945
0,0,0,0.0,0,0.0,L1-Reg Robust,40,0.17063831953321018,0.7194444444444444,0.6777777777777778,0.8405500015283582,400,0,544.0005092108535,4.26958976700007
0,5,1,1.0,360,0.022523,F-norm MU,40,0.18409280697583583,0.6777777777777778,0.6527777777777778,0.7997719557012419,400,0,2888.6532140299273,1.8960803779998514
0,5,1,1.0,360,0.022523,L1-NMF,40,0.18681250733479493,0.6722222222222223,0.6666666666666666,0.8028375645065321,400,0,29381.76835358236,3.813843003000102
0,5,1,1.0,360,0.022523,Hypersurface,40,0.14436659579967787,0.7666666666666667,0.7333333333333333,0.865187745745097,400,0,13605.076144805866,4.240648589999864
0,5,1,1.0,360,0.022523,"L2,1-NMF",40,0.18366516131840152,0.6194444444444445,0.5833333333333334,0.7692545546842677,400,0,1015.3449002809588,3.649212377999902
0,5,1,1.0,360,0.022523,L1-Reg Robust,40,0.17447559956099143,0.7055555555555556,0.6694444444444444,0.8291496784929335,400,0,669.3752217553454,4.4512688280001385
0,10,1,1.0,360,0.09009,F-norm MU,40,0.32414994407693154,0.3055555555555556,0.2861111111111111,0.513142601985256,400,0,3291.4578783737024,1.837214480000057
0,10,1,1.0,360,0.09009,L1-NMF,40,0.22440233237374085,0.5194444444444445,0.4666666666666667,0.689743250353678,400,0,37428.27642026524,3.812509742999964
0,10,1,1.0,360,0.09009,Hypersurface,40,0.3088293317539776,0.3277777777777778,0.3138888888888889,0.5320075973380632,400,0,16382.440249726931,4.046656349999921
0,10,1,1.0,360,0.09009,"L2,1-NMF",40,0.32368679417026924,0.2861111111111111,0.2777777777777778,0.5004836336082232,400,0,1081.4937948325792,3.6102159810000103
0,10,1,1.0,360,0.09009,L1-Reg Robust,40,0.22735149947880312,0.5277777777777778,0.49166666666666664,0.6963241232044248,400,0,920.961728871482,4.380067366000048
0,15,1,1.0,360,0.202703,F-norm MU,40,0.47013419977197557,0.2,0.18888888888888888,0.43676566634893094,400,0,3582.2692407028317,1.9819227289999617
0,15,1,1.0,360,0.202703,L1-NMF,40,0.45385499455100947,0.24444444444444444,0.2222222222222222,0.48340873173440085,400,0,35724.15667649141,4.1057342270000845
0,15,1,1.0,360,0.202703,Hypersurface,40,0.4633307393152942,0.25277777777777777,0.23055555555555557,0.46644735177759217,400,0,17446.53514514656,3.7161592830000245
0,15,1,1.0,360,0.202703,"L2,1-NMF",40,0.46982741969894354,0.20833333333333334,0.20277777777777778,0.45170186851809324,400,0,1127.6659916364472,2.8403536729999814
0,15,1,1.0,360,0.202703,L1-Reg Robust,40,0.4486133751014053,0.22777777777777777,0.2111111111111111,0.4651308797023569,400,0,935.745928587668,3.9982647369999995
0,20,1,1.0,360,0.36036,F-norm MU,40,0.6328860966350245,0.18611111111111112,0.17777777777777778,0.43305086954779376,400,0,3245.4111487373057,1.6479265389998545
0,20,1,1.0,360,0.36036,L1-NMF,40,0.6164953821132594,0.23055555555555557,0.20833333333333334,0.4616749434437843,400,0,38378.72212478204,3.742929924000009
0,20,1,1.0,360,0.36036,Hypersurface,40,0.6263766334184283,0.19166666666666668,0.18333333333333332,0.4443244573732169,400,0,17090.08992866137,3.247680421999803
0,20,1,1.0,360,0.36036,"L2,1-NMF",40,0.6326493757810719,0.19722222222222222,0.18888888888888888,0.43788243084352557,400,0,1075.1439606104914,2.8855150710001
0,20,1,1.0,360,0.36036,L1-Reg Robust,40,0.6126233934650352,0.2222222222222222,0.21666666666666667,0.4648686716531249,400,0,981.0735745241196,6.074314330999869
0,10,2,1.0,360,0.168116,F-norm MU,40,0.43510948338195743,0.2361111111111111,0.2222222222222222,0.466820001348682,400,0,4530.879780112426,1.5732243279999238
0,10,2,1.0,360,0.168116,L1-NMF,40,0.3740277934832431,0.29444444444444445,0.2777777777777778,0.5130452823894092,400,0,41135.30124512817,2.8102022450000277
0,10,2,1.0,360,0.168116,Hypersurface,40,0.42433220437313574,0.26666666666666666,0.24722222222222223,0.4820503767045859,400,0,20128.74350556083,4.955476251999926
0,10,2,1.0,360,0.168116,"L2,1-NMF",40,0.43421372483637927,0.24722222222222223,0.23055555555555557,0.47428750541048814,400,0,1272.7979043527744,2.7194396730001245
0,10,2,1.0,360,0.168116,L1-Reg Robust,40,0.3513802426840083,0.3277777777777778,0.30277777777777776,0.5370877696976424,400,0,1122.7973707328304,4.017973214999984
0,10,3,1.0,360,0.238556,F-norm MU,40,0.504134835086569,0.24166666666666667,0.2222222222222222,0.46969103389494415,400,0,5468.047910054098,1.5996868980000727
0,10,3,1.0,360,0.238556,L1-NMF,40,0.47348890086277695,0.25,0.2222222222222222,0.48174080378383755,400,0,42976.25128687981,3.090452998000046
0,10,3,1.0,360,0.238556,Hypersurface,40,0.49503075626815923,0.26944444444444443,0.25,0.48055877561050503,400,0,23148.058515096447,3.274337800000012
0,10,3,1.0,360,0.238556,"L2,1-NMF",40,0.5039033859749128,0.2611111111111111,0.2361111111111111,0.4763635766085415,400,0,1392.5853199163555,2.596047993999946
0,10,3,1.0,360,0.238556,L1-Reg Robust,40,0.44282960088023354,0.2777777777777778,0.24444444444444444,0.4996653670871174,400,0,1247.545062918014,4.1089357459998155
0,10,4,1.0,360,0.300198,F-norm MU,40,0.568920710453752,0.2,0.18888888888888888,0.43004672636851843,400,0,6270.601857098172,1.570678537000049
0,10,4,1.0,360,0.300198,L1-NMF,40,0.5447691601436738,0.23333333333333334,0.21944444444444444,0.4664615235350651,400,0,46236.800338266534,2.9920342249999976
0,10,4,1.0,360,0.300198,Hypersurface,40,0.5614937426587914,0.24166666666666667,0.2222222222222222,0.4659302949800062,400,0,25493.853830537882,3.264145223000014
0,10,4,1.0,360,0.300198,"L2,1-NMF",40,0.5685361775484157,0.21944444444444444,0.20833333333333334,0.45725820469832046,400,0,1491.9616221033157,2.7463590959998783
0,10,4,1.0,360,0.300198,L1-Reg Robust,40,0.5160780251477036,0.24722222222222223,0.2388888888888889,0.4734799953286289,400,0,1397.404629884927,3.974704714999916
0,15,2,0.1,36,0.031937,F-norm MU,40,0.2179286430150919,0.6527777777777778,0.6361111111111111,0.8068836223872086,400,0,1914.2987793254158,1.606187890000001
0,15,2,0.1,36,0.031937,L1-NMF,40,0.23971226411477473,0.5694444444444444,0.5416666666666666,0.7540634474221432,400,0,27334.46067459726,3.1835588719998213
0,15,2,0.1,36,0.031937,Hypersurface,40,0.21822487505815316,0.6333333333333333,0.6166666666666667,0.7801166598387993,400,0,11263.745708129823,3.3040186939999785
0,15,2,0.1,36,0.031937,"L2,1-NMF",40,0.2128488634151429,0.6694444444444444,0.6555555555555556,0.804918726559223,400,0,813.419074218822,2.561240701000088
0,15,2,0.1,36,0.031937,L1-Reg Robust,40,0.2317678567810646,0.5944444444444444,0.575,0.7586833984205342,400,0,619.6100288137327,3.8333822150000287
0,15,2,0.25,90,0.086106,F-norm MU,40,0.328131777681986,0.4444444444444444,0.42777777777777776,0.6521890958996893,400,0,2547.023031820342,1.576089038000191
0,15,2,0.25,90,0.086106,L1-NMF,40,0.32904129531274434,0.4166666666666667,0.4,0.6465233117153695,400,0,30490.969593656562,2.894051301000218
0,15,2,0.25,90,0.086106,Hypersurface,40,0.32305324740486124,0.475,0.4638888888888889,0.6860043545812818,400,0,13554.040858367427,3.1968104269999458
0,15,2,0.25,90,0.086106,"L2,1-NMF",40,0.3236776865132181,0.43333333333333335,0.4222222222222222,0.664195797448687,400,0,927.6606995302204,2.6751183049998417
0,15,2,0.25,90,0.086106,L1-Reg Robust,40,0.3223189095074291,0.46944444444444444,0.4527777777777778,0.6866106360442455,400,0,730.6379889715147,4.014164859999937
0,15,2,0.5,180,0.170698,F-norm MU,40,0.4374652463046029,0.33611111111111114,0.33055555555555555,0.5716971598522701,400,0,3364.8854393934316,1.5696414789999835
0,15,2,0.5,180,0.170698,L1-NMF,40,0.42972326270321926,0.3138888888888889,0.30833333333333335,0.5590993344196463,400,0,34664.03884879107,3.046468234000031
0,15,2,0.5,180,0.170698,Hypersurface,40,0.43290699244046577,0.3472222222222222,0.3388888888888889,0.5745495564908444,400,0,16389.625089148227,3.4451627609998923
