n_blocks,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0,F-norm MU,5,0.19168507045271757,0.0008732751769991782,0.2358950759318914,0.010344629072990011,0.35565851304094165,0.011441072642192103,5.3051768167933915
0,L1-NMF,5,0.26681617560565535,0.0026486034641982417,0.09746893695352048,0.0041976085599600135,0.1364267629391872,0.004913475973206604,11.971754925194546
0,Hypersurface,5,0.21281994066446827,0.0010692166029383024,0.20773124712379198,0.009389521897842305,0.2997276585628319,0.014495541609876013,13.828637025001807
0,"L2,1-NMF",5,0.19320394810793165,0.0005166625890162932,0.24040497008743672,0.0062219765416127275,0.35451457862980384,0.009791994026951127,10.778162900399185
0,L1-Reg Robust,5,0.2935492236988724,0.0016397169468032496,0.08531983433041876,0.001646437535204631,0.11151019679959799,0.002868856476991482,14.380986108400975
1,F-norm MU,5,0.45018076782565675,0.001901900532777299,0.10786930510814544,0.010329263471985217,0.16369624948920486,0.014869821007079818,5.415609816199867
1,L1-NMF,5,0.26821653846961013,0.0026136405725350276,0.09976990335941095,0.002093752998817731,0.1394189914055332,0.008164645371233443,11.985021808397141
1,Hypersurface,5,0.2731794693874836,0.009584244750315208,0.16640589047399906,0.010854124622274466,0.24417614107646912,0.017252233156062658,13.275672133400803
1,"L2,1-NMF",5,0.44779414882938917,0.0018802718294444359,0.11606074551311552,0.005788199791451494,0.176235728939159,0.007680521451366292,10.88616101659718
1,L1-Reg Robust,5,0.29996335146494146,0.0019433354128060884,0.08826507132995857,0.004346330033361283,0.11449019340127382,0.004892564089148545,14.569185925001511
2,F-norm MU,5,0.6027478738094573,0.003519652410367655,0.09433962264150944,0.003350257657285101,0.13445015843815547,0.009418486206569512,4.801695874996949
2,L1-NMF,5,0.2744947005153658,0.00212320833884028,0.10216290842153704,0.005929175668074148,0.1417392501206435,0.007811472690917458,11.49442295859917
2,Hypersurface,5,0.4844217109803178,0.003812771688810555,0.1179015186378279,0.005380523480189241,0.16448746641964787,0.00471910122485,13.013859224802582
2,"L2,1-NMF",5,0.6010026270850328,0.0035954044838199823,0.09986194201564658,0.006105153778841049,0.14247520253746498,0.012875376689087822,10.436534458195093
2,L1-Reg Robust,5,0.3114176493570441,0.0023058700569466716,0.08725264611136677,0.003926503268789975,0.11736689415041476,0.005083177887280015,13.454423358396161
3,F-norm MU,5,0.7133930196029102,0.0019174508448607153,0.09608835710998619,0.00552615298749308,0.13225486036694167,0.010389220355800876,4.653764558199327
3,L1-NMF,5,0.29684260142381436,0.005618660458693788,0.10299125632765763,0.002240342649726292,0.14253237618979725,0.006719060357082957,11.498167533200467
3,Hypersurface,5,0.63687813399485,0.008429527407570105,0.10262310170271513,0.006267758155488373,0.14192227821499476,0.009519700735731437,13.378914891800378
3,"L2,1-NMF",5,0.7131609085468574,0.0020365873214234823,0.10004601932811781,0.003543787079278134,0.13787288346875923,0.0033553700825375778,10.019897933397441
3,L1-Reg Robust,5,0.3252376138669903,0.0032765492285162273,0.0936953520478601,0.00329608920008651,0.1253319442256856,0.004707968153685129,13.948175125196576
4,F-norm MU,5,0.8072158348379854,0.004489785756638356,0.09121030832949839,0.004720066785074306,0.1215672505937615,0.007364323354428,5.57657142499811
4,L1-NMF,5,0.38146299038881326,0.021405499783502542,0.09323515876668201,0.002655598351818413,0.12680371959156683,0.002473563130981517,11.255710624798667
4,Hypersurface,5,0.7549758329929226,0.005495007581459816,0.09811320754716982,0.005419740642590813,0.13702127845444378,0.008995077924266235,12.668459666802665
4,"L2,1-NMF",5,0.8054301759743753,0.004700524642795127,0.09489185457892316,0.005321155828646945,0.1316278003862977,0.00687364603274785,10.001660116799759
4,L1-Reg Robust,5,0.3473116756643109,0.0024684708240676747,0.09479981592268753,0.003221352968246663,0.12658525784555313,0.006860111799875569,13.614690441600397
