run,block_size,n_blocks,algorithm,rre,iterations,seconds
0,5,1,F-norm MU,0.2279391793392756,300,42.00518949999241
0,5,1,L1-NMF,0.2616861003278521,300,66.18126700000721
0,5,1,"L2,1-NMF",0.22713148452160445,300,88.2680798000074
0,10,1,F-norm MU,0.4494422627837227,300,54.5143011000182
0,10,1,L1-NMF,0.2634022237271252,300,71.58714980000514
0,10,1,"L2,1-NMF",0.44815762868041437,300,92.20724380001775
0,15,1,F-norm MU,0.6683458440532637,300,57.03803860000335
0,15,1,L1-NMF,0.47619854671388145,300,78.59881599998334
0,15,1,"L2,1-NMF",0.6685321097973074,300,101.16396220002207
1,5,1,F-norm MU,0.22690603712320337,300,74.59878659999231
1,5,1,L1-NMF,0.25870315173875535,300,100.88832019999973
1,5,1,"L2,1-NMF",0.22692375800127254,300,102.96519090002403
1,10,1,F-norm MU,0.44800722477715643,300,67.81603320001159
1,10,1,L1-NMF,0.26042813636791046,300,107.2256153000053
1,10,1,"L2,1-NMF",0.44780708681920295,300,107.81131369998911
1,15,1,F-norm MU,0.6680539788206713,300,72.37166080001043
1,15,1,L1-NMF,0.5040598643175663,300,111.61336620000657
1,15,1,"L2,1-NMF",0.6678960118755894,300,91.09105859999545
2,5,1,F-norm MU,0.2261153133893664,300,61.73657809998258
2,5,1,L1-NMF,0.25491779398722764,300,72.86427610000828
2,5,1,"L2,1-NMF",0.22677067694167394,300,88.26898839999922
2,10,1,F-norm MU,0.4487093115913519,300,29.346671600011177
2,10,1,L1-NMF,0.2577055977981908,300,98.31896780000534
2,10,1,"L2,1-NMF",0.4488899127672956,300,107.05422400002135
2,15,1,F-norm MU,0.6677276991420874,300,69.90237009999692
2,15,1,L1-NMF,0.4859480557399719,300,105.64259229999152
2,15,1,"L2,1-NMF",0.6663195107919798,300,95.89421489997767
3,5,1,F-norm MU,0.2243162676034492,300,66.06180779999704
3,5,1,L1-NMF,0.2554090686554746,300,104.82506740000099
3,5,1,"L2,1-NMF",0.22600360963302638,300,99.42424680001568
3,10,1,F-norm MU,0.449581782253405,300,65.12095090001822
3,10,1,L1-NMF,0.2570256197193994,300,102.45678169999155
3,10,1,"L2,1-NMF",0.44609990887064876,300,103.46431120001944
3,15,1,F-norm MU,0.6685388955625869,300,72.7169203000085
3,15,1,L1-NMF,0.5107684972124144,300,97.41727349997382
3,15,1,"L2,1-NMF",0.6673710558905142,300,67.89832879998721
4,5,1,F-norm MU,0.22498142508486432,300,58.01225309999427
4,5,1,L1-NMF,0.258492971632737,300,116.40555769999628
4,5,1,"L2,1-NMF",0.2254211553334867,300,99.32121310001821
4,10,1,F-norm MU,0.4468678307163655,300,89.44035019999137
4,10,1,L1-NMF,0.26028182544577216,300,115.48770360002527
4,10,1,"L2,1-NMF",0.4466952305357688,300,99.1133994999982
4,15,1,F-norm MU,0.6661175350701963,300,82.91707669998868
4,15,1,L1-NMF,0.5154301095308369,300,118.19624750001822
4,15,1,"L2,1-NMF",0.6667385848015068,300,82.70505850002519
