block_size,algorithm,n_runs,mean_rre,std_rre,mean_accuracy,std_accuracy,mean_nmi,std_nmi,mean_seconds
0,F-norm MU,5,0.12898409309158684,0.00048255873420550375,0.76,0.014907119849998596,0.8567796473648436,0.0073836085853425945,1.7508798471998943
0,L1-NMF,5,0.18492849532977626,0.0011917900907749551,0.6411111111111111,0.02479857124518406,0.7933003383117214,0.012041888036246177,3.4855467939999927
0,Hypersurface,5,0.1387838594213956,0.0007246873067949232,0.7427777777777778,0.027259045389660234,0.8504346359430144,0.015634124236343985,3.7959029931999795
0,"L2,1-NMF",5,0.12954926793793203,0.0007114446650558649,0.7527777777777779,0.026205503144601718,0.8550188185499252,0.020022036274531023,3.3140658973999506
0,L1-Reg Robust,5,0.17112672149179542,0.0012220366605052518,0.6905555555555557,0.025654999753375148,0.8209918659139811,0.01569685309878767,4.226743266400081
5,F-norm MU,5,0.18455079413351722,0.0008531337938046602,0.6616666666666666,0.0340433637774523,0.7871978569665123,0.018419084658696606,1.7963922852000451
5,L1-NMF,5,0.18736039531667076,0.0008701343569120565,0.65,0.02798533566612485,0.792675982514859,0.01545658861984042,3.497833686400054
5,Hypersurface,5,0.14431531286949095,0.000980210661191366,0.7438888888888889,0.024168263037951367,0.8542935540520823,0.014821663334750627,3.905678154399948
5,"L2,1-NMF",5,0.18397162348987667,0.0006885050177261614,0.6294444444444445,0.02244678205648544,0.7697717742060016,0.015641931448600595,3.3912841455999567
5,L1-Reg Robust,5,0.17490112992775403,0.0007408616165908833,0.6694444444444444,0.02299020188506508,0.8051226215688345,0.015543350222260296,4.097783603200014
10,F-norm MU,5,0.32768222329772423,0.003153483876563115,0.27055555555555555,0.02111841978749802,0.4945379419134775,0.01608563494498873,1.7694015799999305
10,L1-NMF,5,0.2328057357408017,0.0065294484300880105,0.49111111111111116,0.021907493503478183,0.6670286840804237,0.020608757367798044,3.5659480073998564
10,Hypersurface,5,0.31434727400203044,0.004306979334279043,0.31,0.022956615012660414,0.5179825917021229,0.012969628835444452,3.8479189245998895
10,"L2,1-NMF",5,0.32743787036540006,0.0032327417490829757,0.2733333333333333,0.02943658175941991,0.49586724530226167,0.02360059229401253,3.2717023997999606
10,L1-Reg Robust,5,0.2358056294090741,0.007669426387568859,0.48277777777777775,0.03145151078826258,0.6632703941649429,0.023022637572554714,4.182746456399991
15,F-norm MU,5,0.46985133702528453,0.005585773139756549,0.2011111111111111,0.005046083923495821,0.437903370511335,0.004782446833991164,1.7968219227999724
15,L1-NMF,5,0.4530459303779829,0.0071151362696149165,0.2438888888888889,0.021641723534202732,0.47966154540833283,0.01170693157585821,3.6411194355999212
15,Hypersurface,5,0.46362023772469774,0.006797435869022823,0.2177777777777778,0.02093493742379641,0.4516520778414737,0.008785314291465533,3.8476411725999697
15,"L2,1-NMF",5,0.46955416501017694,0.0058198759787491845,0.20166666666666666,0.009337631285539784,0.4405751879132799,0.009834416108891771,3.2400601154000923
15,L1-Reg Robust,5,0.4465883351211069,0.007572708007411249,0.24500000000000002,0.01421831543563303,0.4775502775452539,0.008849481536942774,4.1187840771999165
20,F-norm MU,5,0.6362953662983705,0.004483454256321855,0.19222222222222224,0.012012082394688699,0.43685926368647526,0.007221062154778149,1.784391852600038
20,L1-NMF,5,0.6199895541456503,0.004559554354098084,0.22555555555555556,0.0056927504255331164,0.4541122540838571,0.005744773475458556,3.617918942799997
20,Hypersurface,5,0.6318505906746892,0.00477530282161376,0.2011111111111111,0.008914892519933998,0.44318534526978065,0.006800719922640222,3.730216094199977
20,"L2,1-NMF",5,0.636389952797671,0.0045314721832786535,0.1933333333333333,0.008695819912499183,0.43598941689611703,0.006544449984477672,3.262347265399967
20,L1-Reg Robust,5,0.6154327204859118,0.005074899579413246,0.23000000000000004,0.006631853547951853,0.46378909805503843,0.004308426631143215,4.526280137599997
